semilla;corte;ganancia;metrica;modelo
982939;11000;55,467;55,467;Variables Gustavo
982939;11500;54,947;54,947;Variables Gustavo
982939;12000;55,127;55,127;Variables Gustavo
982939;12500;55,777;55,777;Variables Gustavo
982939;13000;55,977;55,977;Variables Gustavo
497993;9000;56,537;56,537;Variables Gustavo
497993;9500;55,817;55,817;Variables Gustavo
497993;10000;55,117;55,117;Variables Gustavo
497993;10500;55,667;55,667;Variables Gustavo
497993;11000;56,977;56,977;Variables Gustavo
497993;11500;55,897;55,897;Variables Gustavo
497993;12000;54,827;54,827;Variables Gustavo
497993;12500;55,047;55,047;Variables Gustavo
497993;13000;53,997;53,997;Variables Gustavo
430979;9000;58,087;58,087;Variables Gustavo
430979;9500;57,807;57,807;Variables Gustavo
430979;10000;58,637;58,637;Variables Gustavo
430979;10500;57,717;57,717;Variables Gustavo
430979;11000;57,707;57,707;Variables Gustavo
430979;11500;56,927;56,927;Variables Gustavo
430979;12000;57,017;57,017;Variables Gustavo
430979;12500;56,627;56,627;Variables Gustavo
430979;13000;56,577;56,577;Variables Gustavo
239171;9000;56,567;56,567;Variables Gustavo
239171;9500;55,817;55,817;Variables Gustavo
239171;10000;54,807;54,807;Variables Gustavo
239171;10500;55,667;55,667;Variables Gustavo
239171;11000;56,497;56,497;Variables Gustavo
239171;11500;56,637;56,637;Variables Gustavo
239171;12000;57,667;57,667;Variables Gustavo
239171;12500;57,077;57,077;Variables Gustavo
239171;13000;56,437;56,437;Variables Gustavo
214531;9000;56,457;56,457;Variables Gustavo
214531;9500;57,647;57,647;Variables Gustavo
214531;10000;57,407;57,407;Variables Gustavo
214531;10500;57,017;57,017;Variables Gustavo
214531;11000;56,337;56,337;Variables Gustavo
214531;11500;55,987;55,987;Variables Gustavo
214531;12000;55,967;55,967;Variables Gustavo
214531;12500;55,717;55,717;Variables Gustavo
214531;13000;55,867;55,867;Variables Gustavo
311447;9000;56,567;56,567;Variables Gustavo
311447;9500;56,647;56,647;Variables Gustavo
311447;10000;57,077;57,077;Variables Gustavo
311447;10500;55,847;55,847;Variables Gustavo
311447;11000;57,517;57,517;Variables Gustavo
311447;11500;56,817;56,817;Variables Gustavo
311447;12000;57,077;57,077;Variables Gustavo
311447;12500;56,457;56,457;Variables Gustavo
311447;13000;57,307;57,307;Variables Gustavo
480979;9000;56,007;56,007;Variables Gustavo
480979;9500;55,617;55,617;Variables Gustavo
480979;10000;56,107;56,107;Variables Gustavo
480979;10500;56,237;56,237;Variables Gustavo
480979;11000;57,157;57,157;Variables Gustavo
480979;11500;57,177;57,177;Variables Gustavo
480979;12000;58,027;58,027;Variables Gustavo
480979;12500;56,947;56,947;Variables Gustavo
480979;13000;55,867;55,867;Variables Gustavo
388163;9000;56,957;56,957;Variables Gustavo
388163;9500;57,067;57,067;Variables Gustavo
